neighbourhood_group,neighbourhood
Alenquer,Abrigada e Cabanas de Torres
Alenquer,Aldeia Galega da Merceana e Aldeia Gavinha
Alenquer,Alenquer (Santo Estvo e Triana)
Alenquer,Carnota
Alenquer,Carregado e Cadafais
Alenquer,Meca
Alenquer,Olhalvo
Alenquer,Ota
Alenquer,Ribafria e Pereiro de Palhacana
Alenquer,Ventosa
Alenquer,Vila Verde dos Francos
Amadora,Alfragide
Amadora,Encosta do Sol
Amadora,Falagueira-Venda Nova
Amadora,guas Livres
Amadora,Mina de gua
Amadora,Venteira
Arruda Dos Vinhos,Arranh
Arruda Dos Vinhos,Arruda dos Vinhos
Arruda Dos Vinhos,Cardosas
Arruda Dos Vinhos,Santiago dos Velhos
Azambuja,Alcoentre
Azambuja,Aveiras de Baixo
Azambuja,Aveiras de Cima
Azambuja,Azambuja
Azambuja,"Manique do Intendente, V.N.de S.Pedro e Maussa"
Azambuja,Vale do Paraso
Azambuja,Vila Nova da Rainha
Cadaval,Alguber
Cadaval,Cadaval e Pro Moniz
Cadaval,Lamas e Cercal
Cadaval,Painho e Figueiros
Cadaval,Peral
Cadaval,Vermelha
Cadaval,Vilar
Cascais,Alcabideche
Cascais,Carcavelos e Parede
Cascais,Cascais e Estoril
Cascais,So Domingos de Rana
Lisboa,Ajuda
Lisboa,Alcntara
Lisboa,Alvalade
Lisboa,Areeiro
Lisboa,Arroios
Lisboa,Avenidas Novas
Lisboa,Beato
Lisboa,Belm
Lisboa,Benfica
Lisboa,Campo de Ourique
Lisboa,Campolide
Lisboa,Carnide
Lisboa,Estrela
Lisboa,Lumiar
Lisboa,Marvila
Lisboa,Misericrdia
Lisboa,Olivais
Lisboa,Parque das Naes
Lisboa,Penha de Frana
Lisboa,Santa Clara
Lisboa,Santa Maria Maior
Lisboa,Santo Antnio
Lisboa,So Domingos de Benfica
Lisboa,So Vicente
Loures,Bucelas
Loures,"Camarate, Unhos e Apelao"
Loures,Fanhes
Loures,Loures
Loures,Lousa
Loures,Moscavide e Portela
Loures,Sacavm e Prior Velho
Loures,"Santa Iria de Azoia, So Joo da Talha e Bobadela"
Loures,Santo Antnio dos Cavaleiros e Frielas
Loures,Santo Anto e So Julio do Tojal
Lourinh,Lourinh e Atalaia
Lourinh,Miragaia e Marteleira
Lourinh,Moita dos Ferreiros
Lourinh,Reguengo Grande
Lourinh,Ribamar
Lourinh,Santa Brbara
Lourinh,So Bartolomeu dos Galegos e Moledo
Lourinh,Vimeiro
Mafra,Azueira e Sobral da Abelheira
Mafra,Carvoeira
Mafra,Encarnao
Mafra,"Enxara do Bispo, Gradil e Vila Franca do Rosrio"
Mafra,Ericeira
Mafra,Igreja Nova e Cheleiros
Mafra,Mafra
Mafra,Malveira e So Miguel de Alcaina
Mafra,Milharado
Mafra,Santo Isidoro
Mafra,Venda do Pinheiro e Santo Estvo das Gals
Odivelas,Odivelas
Odivelas,Pontinha e Fames
Odivelas,Pvoa de Santo Adrio e Olival de Basto
Odivelas,Ramada e Caneas
Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo"
Oeiras,Barcarena
Oeiras,Carnaxide e Queijas
Oeiras,"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias"
Oeiras,Porto Salvo
Sintra,Agualva e Mira-Sintra
Sintra,Algueiro-Mem Martins
Sintra,"Almargem do Bispo, Pro Pinheiro e Montelavar"
Sintra,Cacm e So Marcos
Sintra,Casal de Cambra
Sintra,Colares
Sintra,Massam e Monte Abrao
Sintra,Queluz e Belas
Sintra,Rio de Mouro
Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim"
Sintra,So Joo das Lampas e Terrugem
Sobral De Monte Agrao,Santo Quintino
Sobral De Monte Agrao,Sapataria
Sobral De Monte Agrao,Sobral de Monte Agrao
Torres Vedras,A dos Cunhados e Maceira
Torres Vedras,Campelos e Outeiro da Cabea
Torres Vedras,Carvoeira e Carmes
Torres Vedras,Dois Portos e Runa
Torres Vedras,Freiria
Torres Vedras,Maxial e Monte Redondo
Torres Vedras,Ponte do Rol
Torres Vedras,Ramalhal
Torres Vedras,Silveira
Torres Vedras,So Pedro da Cadeira
Torres Vedras,"S.Pedro e Santiago, S.Maria e S.Miguel, e Mataces"
Torres Vedras,Turcifal
Torres Vedras,Ventosa
Vila Franca De Xira,"Alhandra, So Joo dos Montes e Calhandriz"
Vila Franca De Xira,Alverca do Ribatejo e Sobralinho
Vila Franca De Xira,Castanheira do Ribatejo e Cachoeiras
Vila Franca De Xira,Pvoa de Santa Iria e Forte da Casa
Vila Franca De Xira,Vialonga
Vila Franca De Xira,Vila Franca de Xira
